transfer_code,title,status,reason,transfer_id,target_collection,existing_collection,from_csv,to_csv,from_city_resolved,to_city_resolved,city_csv,city_resolved,country_csv,country_resolved,price_rows,slab_count,mode
RAIL_56208,Train from Kyoto to Osaka,updated,,68e7cb0e6b76504213b21ee2,across_city_transfer,across_city_transfer,Kyoto,Osaka,Kyoto,Osaka,Kyoto,,Japan,Japan,3,3,live
RAIL_56209,Train from Osaka to Kyoto,updated,,68e7cb0e6b76504213b21ee1,across_city_transfer,across_city_transfer,Osaka,Kyoto,Osaka,Kyoto,Osaka,,Japan,Japan,3,3,live
RAIL_56210,Train from Osaka to Tokyo,updated,,68e7cb0e6b76504213b21ee0,across_city_transfer,across_city_transfer,Osaka,Tokyo,Osaka,Tokyo,Osaka,,Japan,Japan,3,3,live
RAIL_56327,Train from Tokyo to Kyoto,updated,,68e7cb0e6b76504213b21ec9,across_city_transfer,across_city_transfer,Tokyo,Kyoto,Tokyo,Kyoto,Tokyo,,Japan,Japan,3,3,live
RAIL_56328,Train from Kyoto to Tokyo,updated,,68e7cb0e6b76504213b21ec8,across_city_transfer,across_city_transfer,Kyoto,Tokyo,Kyoto,Tokyo,Kyoto,,Japan,Japan,3,3,live
RAIL_56329,Train from Tokyo to Osaka,updated,,68e7cb0e6b76504213b21ec7,across_city_transfer,across_city_transfer,Tokyo,Osaka,Tokyo,Osaka,Tokyo,,Japan,Japan,3,3,live
TRA_57803,"One Way Shared Transfer from Shinjuku, Ueno, Asakusa & Ginza to Tokyo Disneyland",inserted,,6a0710e38c30b29bde4f2314,within_city_transfer,,"Shinjuku, Ueno, Asakusa & Ginza",Tokyo Disneyland,,,Tokyo,Tokyo,Japan,Japan,1,1,live
TRA_57804,"One Way Shared Transfer from  Tokyo Disneyland to Shinjuku, Ueno, Asakusa & Ginza",inserted,,6a0710e38c30b29bde4f2316,within_city_transfer,,Tokyo Disneyland,"Shinjuku, Ueno, Asakusa & Ginza",,,Tokyo,Tokyo,Japan,Japan,1,1,live
ATRA_57818,One way transfer from Tokyo City Centre Hotel to Haneda Airport,inserted,,6a0710e38c30b29bde4f2318,within_city_transfer,,Tokyo City Centre Hotel,Haneda Airport,,,Tokyo,Tokyo,Japan,Japan,4,4,live
ATRA_57819,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,inserted,,6a0710e38c30b29bde4f231d,within_city_transfer,,Narita Airport,Tokyo City Centre / Shinjuku Hotel,,,Tokyo,Tokyo,Japan,Japan,4,4,live
ATRA_57820,One way transfer from Tokyo City Centre/Shinjuku Hotel to Narita Airport,inserted,,6a0710e38c30b29bde4f2322,within_city_transfer,,Tokyo City Centre / Shinjuku Hotel,Narita Airport,,,Tokyo,Tokyo,Japan,Japan,4,4,live
ATRA_57829,One way transfer from Haneda Airport to Tokyo City Centre Hotel,inserted,,6a0710e38c30b29bde4f2327,within_city_transfer,,Haneda Airport,Tokyo City Centre Hotel,,,Tokyo,Tokyo,Japan,Japan,4,4,live
ATRA_57821,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,inserted,,6a0710e38c30b29bde4f232c,within_city_transfer,,Kansai Airport,Osaka City / Namba / Umeda,,,Osaka,Osaka,Japan,Japan,4,4,live
ATRA_57822,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,inserted,,6a0710e38c30b29bde4f2331,within_city_transfer,,Osaka City / Namba / Umeda,Kansai Airport,,,Osaka,Osaka,Japan,Japan,4,4,live
ATRA_57823,One way transfer from Osaka Itami Airport to Osaka City Centre,inserted,,6a0710e38c30b29bde4f2336,within_city_transfer,,Osaka Itami Airport,Osaka City Centre,,,Osaka,Osaka,Japan,Japan,4,4,live
ATRA_57824,One way transfer from Osaka City Centre to Osaka Itami Airport,inserted,,6a0710e38c30b29bde4f233b,within_city_transfer,,Osaka City Centre,Osaka Itami Airport,,,Osaka,Osaka,Japan,Japan,4,4,live
ATRA_57825,One way transfer from Kyoto Railway Station to Kyoto City Centre Hotel,inserted,,6a0710e38c30b29bde4f2340,within_city_transfer,,Kyoto Railway Station,Kyoto City Centre Hotel,,,Kyoto,Kyoto,Japan,Japan,3,3,live
ATRA_57826,One way transfer from Kyoto City Centre Hotel to Kyoto Railway Station,inserted,,6a0710e48c30b29bde4f2344,within_city_transfer,,Kyoto City Centre Hotel,Kyoto Railway Station,,,Kyoto,Kyoto,Japan,Japan,3,3,live
ATRA_57827,One way transfer from Kansai International Airport to Kyoto City Centre Hotel,inserted,,6a0710e48c30b29bde4f2348,within_city_transfer,,Kansai Airport,Kyoto City Centre Hotel,,,"Osaka, Kyoto","Osaka, Kyoto",Japan,Japan,3,3,live
ATRA_57828,One way transfer from Kyoto City Centre Hotel to Kansai International Airport,inserted,,6a0710e48c30b29bde4f234c,within_city_transfer,,Kyoto City Centre Hotel,Kansai Airport,,,"Kyoto, Osaka","Kyoto, Osaka",Japan,Japan,3,3,live
