transfer_code,title,status,reason,transfer_id,target_collection,existing_collection,from_csv,to_csv,from_city_resolved,to_city_resolved,from_city_lookup,to_city_lookup,city_csv,city_resolved,country_csv,country_resolved,price_rows,slab_count,cache_price,cache_markup_price,mode
RAIL_56208,Train from Kyoto to Osaka(Reserved Category),updated,,68e7cb0e6b76504213b21ee2,across_city_transfer,across_city_transfer,Kyoto,Osaka,Kyoto,Osaka,from,to,Kyoto,,Japan,Japan,3,3,1950.61,292.59,live
RAIL_56209,Train from Kyoto to Osaka(Reserved Category),updated,,68e7cb0e6b76504213b21ee1,across_city_transfer,across_city_transfer,Osaka,Kyoto,Osaka,Kyoto,from,to,Osaka,,Japan,Japan,3,3,1950.61,292.59,live
RAIL_56210,Train from Osaka to Tokyo(Reserved Category),updated,,68e7cb0e6b76504213b21ee0,across_city_transfer,across_city_transfer,Osaka,Tokyo,Osaka,Tokyo,from,to,Osaka,,Japan,Japan,3,3,9362.95,1404.44,live
RAIL_56327,Train from Tokyo to Kyoto(Reserved Category),updated,,68e7cb0e6b76504213b21ec9,across_city_transfer,across_city_transfer,Tokyo,Kyoto,Tokyo,Kyoto,from,to,Tokyo,,Japan,Japan,3,3,9070.36,1360.55,live
RAIL_56328,Train from Kyoto to Tokyo(Reserved Category),updated,,68e7cb0e6b76504213b21ec8,across_city_transfer,across_city_transfer,Kyoto,Tokyo,Kyoto,Tokyo,from,to,Kyoto,,Japan,Japan,3,3,9167.89,1375.18,live
RAIL_56329,Train from Tokyo to Osaka(Reserved Category),updated,,68e7cb0e6b76504213b21ec7,across_city_transfer,across_city_transfer,Tokyo,Osaka,Tokyo,Osaka,from,to,Tokyo,,Japan,Japan,3,3,9460.48,1419.07,live
TRA_57803,"One Way Shared Transfer from Shinjuku, Ueno, Asakusa & Ginza to Tokyo Disneyland",updated,,6a0710e38c30b29bde4f2314,within_city_transfer,within_city_transfer,"Shinjuku, Ueno, Asakusa & Ginza",Tokyo Disneyland,,,,,Tokyo,Tokyo,Japan,Japan,1,1,1365.43,204.81,live
TRA_57804,"One Way Shared Transfer from  Tokyo Disneyland to Shinjuku, Ueno, Asakusa & Ginza",updated,,6a0710e38c30b29bde4f2316,within_city_transfer,within_city_transfer,Tokyo Disneyland,"Shinjuku, Ueno, Asakusa & Ginza",,,,,Tokyo,Tokyo,Japan,Japan,1,1,1365.43,204.81,live
ATRA_57818,One way transfer from Tokyo City Centre Hotel to Haneda Airport,updated,,6a0710e38c30b29bde4f2318,within_city_transfer,within_city_transfer,Tokyo City Centre Hotel,Haneda Airport,,,,,Tokyo,Tokyo,Japan,Japan,4,4,2682.09,402.31,live
ATRA_57819,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,updated,,6a0710e38c30b29bde4f231d,within_city_transfer,within_city_transfer,Narita Airport,Tokyo City Centre / Shinjuku Hotel,,,,,Tokyo,Tokyo,Japan,Japan,4,4,4291.35,643.7,live
